Firm,Period,Code,ICB Sector,ROA_in_percent,TA,Total_Liabilities,Operating_Income,FCF,Return_EndCurrQ,Return_BegNextQ,USE
ADMG.JK,2021Q1,ADMG.JK2021Q1,Chemicals,0.432674454,3.01267E+12,5.37744E+11,-1.24969E+11,-2.10447E+11,-0.303418803,-0.233944954,TRUE
ADRO.JK,2020Q1,ADRO.JK2020Q1,"Oil, Gas and Coal",1.493872577,1.12861E+14,4.84E+13,-1.85798E+11,-2.84387E+11,-0.334181729,-0.28647374,TRUE
ADRO.JK,2020Q2,ADRO.JK2020Q2,"Oil, Gas and Coal",0.897641377,9.4212E+13,5.19542E+13,2.08146E+12,25933300000,0.0446206,0.064845928,TRUE
ADRO.JK,2020Q3,ADRO.JK2020Q3,"Oil, Gas and Coal",-0.699231649,9.6029E+13,4.17143E+13,1.43367E+12,1.5174E+11,0.14070347,0.129186581,TRUE
ADRO.JK,2020Q4,ADRO.JK2020Q4,"Oil, Gas and Coal",0.588771467,8.95972E+13,4.19005E+13,-1.58847E+11,5.89816E+11,0.259911888,0.233050907,TRUE
ADRO.JK,2021Q1,ADRO.JK2021Q1,"Oil, Gas and Coal",1.171108127,9.41654E+13,3.74796E+13,9.37858E+11,1.80309E+12,-0.178321683,-0.189003475,TRUE
AGII.JK,2020Q1,AGII.JK2020Q1,Chemicals,0.286036572,7.18909E+12,3.77993E+12,1.13097E+11,-67980000000,-0.223021555,-0.223076899,TRUE
AGII.JK,2020Q2,AGII.JK2020Q2,Chemicals,-0.030523205,7.12133E+12,3.92907E+12,1.10203E+11,34663000000,-0.018518568,0.108910872,TRUE
AGII.JK,2020Q3,AGII.JK2020Q3,Chemicals,0.197085849,7.11815E+12,3.873E+12,89363000000,4211000000,-0.064150905,-0.089285731,TRUE
AGII.JK,2020Q4,AGII.JK2020Q4,Chemicals,0.950742665,7.12146E+12,3.857E+12,1.03487E+11,24571000000,0.814516186,0.941176556,TRUE
AGII.JK,2021Q1,AGII.JK2021Q1,Chemicals,0.694600213,7.70203E+12,3.79585E+12,1.4885E+11,40027000000,0.272222178,0.080808044,TRUE
AGRO.JK,2020Q1,AGRO.JK2020Q1,Banks,0.062247356,2.66013E+13,2.25035E+13,0,14815174000,-0.505050505,-0.512690355,TRUE
AGRO.JK,2020Q2,AGRO.JK2020Q2,Banks,0.012504502,2.61835E+13,2.19996E+13,0,11198134000,0.244897959,0.28125,TRUE
AGRO.JK,2020Q3,AGRO.JK2020Q3,Banks,0.019943918,2.79351E+13,2.37172E+13,0,-13002399000,1.524590164,1.617886179,TRUE
AGRO.JK,2020Q4,AGRO.JK2020Q4,Banks,0.020946815,2.80155E+13,2.37278E+13,0,28694589000,2.36038961,2.167701863,TRUE
AGRO.JK,2021Q1,AGRO.JK2021Q1,Banks,0.067517338,2.49088E+13,2.06631E+13,0,18191459000,-0.014492754,0.053921569,TRUE
AGRS.JK,2020Q1,AGRS.JK2020Q1,Banks,-2.579573228,6.65071E+12,5.21924E+12,0,-3.42139E+11,0.074074074,-0.1,TRUE
AGRS.JK,2020Q2,AGRS.JK2020Q2,Banks,1.790873633,6.98889E+12,5.49084E+12,0,-2.48537E+11,-0.515088572,-0.495445193,TRUE
AGRS.JK,2020Q3,AGRS.JK2020Q3,Banks,-0.669749558,8.2574E+12,5.84545E+12,0,2.15012E+11,0.854166599,0.935483997,TRUE
AGRS.JK,2020Q4,AGRS.JK2020Q4,Banks,-0.876054175,9.85404E+12,6.16109E+12,0,-24029000000,0.14606743,0.088888858,TRUE
AGRS.JK,2021Q1,AGRS.JK2021Q1,Banks,0.180826769,1.09548E+13,7.9542E+12,0,-89003000000,0.970588294,0.908163233,TRUE
AHAP.JK,2020Q1,AHAP.JK2020Q1,Non-life Insurance,0.281964084,7.57841E+11,5.40863E+11,-2604993100,1084818210,-0.166666667,-0.120689655,TRUE
AHAP.JK,2020Q2,AHAP.JK2020Q2,Non-life Insurance,0.747857972,6.52833E+11,4.94816E+11,7600009620,3126895800,0,-0.019607843,TRUE
AHAP.JK,2020Q3,AHAP.JK2020Q3,Non-life Insurance,0.085429339,5.77582E+11,4.1854E+11,-1110498870,495248950,0.02,0.08,TRUE
AHAP.JK,2020Q4,AHAP.JK2020Q4,Non-life Insurance,-3.728485423,6.12347E+11,4.72176E+11,-2472925000,-20963478420,0.37254902,0.222222222,TRUE
AHAP.JK,2021Q1,AHAP.JK2021Q1,Non-life Insurance,-0.55962983,6.38543E+11,5.01344E+11,-8099462220,-3013134330,0.114285714,0.181818182,TRUE
AIMS.JK,2020Q1,AIMS.JK2020Q1,Pharmaceuticals and Biotechnology,-1.012739411,17553998620,3892950210,-228886510,-228979510,0,0,TRUE
AIMS.JK,2020Q2,AIMS.JK2020Q2,Pharmaceuticals and Biotechnology,-0.492555701,19084395720,4093020010,-177569800,-177662800,0,0,TRUE
AIMS.JK,2020Q3,AIMS.JK2020Q3,Pharmaceuticals and Biotechnology,-1.878395883,19132550270,5713649370,-73527650,-90232250,-0.172222222,-0.227777778,TRUE
AIMS.JK,2020Q4,AIMS.JK2020Q4,Pharmaceuticals and Biotechnology,-1.183701419,20782194480,6120736680,-343036720,-358932770,-0.006711409,0.071942446,TRUE
AIMS.JK,2021Q1,AIMS.JK2021Q1,Pharmaceuticals and Biotechnology,0.86047758,20903816670,8006616590,-243597510,-236235700,0.364864865,0.691275168,TRUE
AISA.JK,2020Q1,AISA.JK2020Q1,Food Producers,0.134088957,2.16567E+12,3.52577E+12,1.57048E+12,1.29165E+12,0,0,TRUE
AISA.JK,2020Q2,AISA.JK2020Q2,Food Producers,-1.741529045,2.04764E+12,3.48809E+12,35904000000,24452000000,0,0,TRUE
AISA.JK,2020Q3,AISA.JK2020Q3,Food Producers,-1.229871935,2.12353E+12,3.40433E+12,-205000000,-41534000000,0.273809524,0.261904762,TRUE
AISA.JK,2020Q4,AISA.JK2020Q4,Food Producers,61.16467312,2.01156E+12,3.50424E+12,16208000000,-602000000,0.822429907,0.764150943,TRUE
AISA.JK,2021Q1,AISA.JK2021Q1,Food Producers,0.110555869,1.95929E+12,1.18205E+12,2.08007E+12,1.27697E+12,-0.297435897,-0.213903743,TRUE
AKKU.JK,2020Q1,AKKU.JK2020Q1,General Industrials,-15.58668938,9.36699E+11,3.49299E+11,3444049930,-1.566E+11,0,0,TRUE
AKKU.JK,2020Q2,AKKU.JK2020Q2,General Industrials,-0.998285331,9.34595E+11,3.56535E+11,-9385621090,-9210517690,0,0,TRUE
AKKU.JK,2020Q3,AKKU.JK2020Q3,General Industrials,-0.198667835,9.34001E+11,3.57929E+11,-1686473670,-1729401880,0,0,TRUE
AKKU.JK,2020Q4,AKKU.JK2020Q4,General Industrials,-0.062587088,9.34744E+11,3.59125E+11,-572476620,-464712480,0,0,TRUE
AKKU.JK,2021Q1,AKKU.JK2021Q1,General Industrials,0.367599456,7.26551E+11,1.34899E+11,54115651110,3132248260,0,0,TRUE
AKPI.JK,2020Q1,AKPI.JK2020Q1,Chemicals,-0.085089409,3.18963E+12,1.53174E+12,79889491000,47289495000,-0.308108119,-0.326315805,TRUE
AKPI.JK,2020Q2,AKPI.JK2020Q2,Chemicals,0.68465805,2.74555E+12,1.71674E+12,13898084000,-9420199000,0.226562487,0.156250043,TRUE
AKPI.JK,2020Q3,AKPI.JK2020Q3,Chemicals,0.141018006,2.7223E+12,1.46011E+12,24304836000,31634206000,-0.108280204,-0.054054045,TRUE
AKPI.JK,2020Q4,AKPI.JK2020Q4,Chemicals,1.653600412,2.64427E+12,1.38242E+12,22378594000,17544532000,0.982142684,0.964285591,TRUE
AKPI.JK,2021Q1,AKPI.JK2021Q1,Chemicals,0.676970427,3.02412E+12,1.33029E+12,39423872000,-2808586000,-0.221621572,-0.185454518,TRUE
AKRA.JK,2020Q1,AKRA.JK2020Q1,"Oil, Gas and Coal",1.119705173,2.15858E+13,1.30494E+13,3.38813E+11,2.68161E+11,-0.5,-0.505128195,TRUE
AKRA.JK,2020Q2,AKRA.JK2020Q2,"Oil, Gas and Coal",1.052883528,1.85536E+13,1.00898E+13,2.93696E+11,2.07131E+11,0.312758006,0.311633343,TRUE
AKRA.JK,2020Q3,AKRA.JK2020Q3,"Oil, Gas and Coal",1.264056949,1.83574E+13,9.84398E+12,2.84781E+11,79449427000,0.022190405,0.071554132,TRUE
AKRA.JK,2020Q4,AKRA.JK2020Q4,"Oil, Gas and Coal",1.493970583,1.86836E+13,9.9312E+12,3.40611E+11,2.49463E+11,0.24705883,0.252873654,TRUE
AKRA.JK,2021Q1,AKRA.JK2021Q1,"Oil, Gas and Coal",1.971522099,1.98853E+13,1.08158E+13,4.57983E+11,4.15027E+11,0.012578613,-0.018348657,TRUE
AKSI.JK,2020Q1,AKSI.JK2020Q1,Investment Banking and Brokerage Services,-5.763673747,2.455E+11,1.71513E+11,-10813345410,87646205190,-0.786899563,-0.779130435,TRUE
AKSI.JK,2020Q2,AKSI.JK2020Q2,Investment Banking and Brokerage Services,-1.642973512,2.3322E+11,1.47025E+11,-13026364250,-9851564830,1.233606557,1.007874016,TRUE
AKSI.JK,2020Q3,AKSI.JK2020Q3,Investment Banking and Brokerage Services,-1.440101607,2.23786E+11,1.38742E+11,-1615679970,1250304190,-0.464220183,-0.42745098,TRUE
AKSI.JK,2020Q4,AKSI.JK2020Q4,Investment Banking and Brokerage Services,9.789429104,2.98261E+11,1.326E+11,-1082697830,838018610,0.417808219,0.52739726,TRUE
AKSI.JK,2021Q1,AKSI.JK2021Q1,Investment Banking and Brokerage Services,5.611031905,3.03334E+11,1.9207E+11,31820446850,31340092870,0.811594203,0.760089686,TRUE
ALDO.JK,2020Q1,ALDO.JK2020Q1,Household Goods and Home Construction,1.143933619,9.38793E+11,5.09049E+11,32354817650,23265172390,0.0887851,0.094999975,TRUE
ALDO.JK,2020Q2,ALDO.JK2020Q2,Household Goods and Home Construction,1.529189215,9.35485E+11,5.14192E+11,18874103960,11767496960,-0.214592278,-0.150684846,TRUE
ALDO.JK,2020Q3,ALDO.JK2020Q3,Household Goods and Home Construction,2.183600413,9.35735E+11,5.01527E+11,22945859310,17565854350,0.082447917,0.064988976,TRUE
ALDO.JK,2020Q4,ALDO.JK2020Q4,Household Goods and Home Construction,2.107618877,9.53552E+11,4.87316E+11,29109445820,2067564650,0.446700512,0.421319889,TRUE
ALDO.JK,2021Q1,ALDO.JK2021Q1,Household Goods and Home Construction,1.93519102,9.8961E+11,4.94401E+11,29227317620,20780102530,-0.122807012,-0.164285766,TRUE
ALMI.JK,2020Q1,ALMI.JK2020Q1,Industrial Metals and Mining,-9.398675104,1.72304E+12,1.82315E+12,-30331088900,66210829858,-0.418994413,-0.418994413,TRUE
ALMI.JK,2020Q2,ALMI.JK2020Q2,Industrial Metals and Mining,3.128312313,1.78191E+12,1.66296E+12,-32964572140,-1.36079E+11,0.096153846,0.028846154,TRUE
ALMI.JK,2020Q3,ALMI.JK2020Q3,Industrial Metals and Mining,-9.57479574,1.54412E+12,1.67317E+12,-44711287600,-20971071512,-0.127192982,-0.126168224,TRUE
ALMI.JK,2020Q4,ALMI.JK2020Q4,Industrial Metals and Mining,-2.074511005,1.49179E+12,1.68806E+12,0,-1.048E+11,0.246231156,0.347593583,TRUE
ALMI.JK,2021Q1,ALMI.JK2021Q1,Industrial Metals and Mining,-9.85483333,1.42013E+12,1.66508E+12,-1570483200,13000046400,-0.040322581,-0.087301587,TRUE
ALTO.JK,2020Q1,ALTO.JK2020Q1,Food Producers,-0.30683951,1.10834E+12,7.2439E+11,1550438980,44833344230,0,-0.065326633,TRUE
ALTO.JK,2020Q2,ALTO.JK2020Q2,Food Producers,-0.697130137,1.09369E+12,7.3266E+11,-224158470,-2883874680,-0.030150754,0.037634409,TRUE
ALTO.JK,2020Q3,ALTO.JK2020Q3,Food Producers,0.254152193,1.10071E+12,7.25661E+11,-5746017400,-4036846480,-0.222797927,-0.222797927,TRUE
ALTO.JK,2020Q4,ALTO.JK2020Q4,Food Producers,-0.201820593,1.10587E+12,7.29904E+11,6456177270,10986616700,0.026666667,0.026666667,TRUE
ALTO.JK,2021Q1,ALTO.JK2021Q1,Food Producers,-0.101434438,1.13951E+12,7.34642E+11,1731187340,2015102770,0.168831169,0.25974026,TRUE
AMAG.JK,2020Q1,AMAG.JK2020Q1,Non-life Insurance,0.450147286,5.09217E+12,3.21805E+12,25945009000,15813115000,0,0,TRUE
AMAG.JK,2020Q2,AMAG.JK2020Q2,Non-life Insurance,0.350009557,4.93562E+12,2.95149E+12,33412628000,23889487000,-0.074324329,-0.087837776,TRUE
AMAG.JK,2020Q3,AMAG.JK2020Q3,Non-life Insurance,0.841377643,4.96667E+12,3.07266E+12,37523326000,47888730000,-0.208345271,-0.19661711,TRUE
AMAG.JK,2020Q4,AMAG.JK2020Q4,Non-life Insurance,0.539415266,4.73713E+12,2.73076E+12,39256875000,36210042000,0.164948422,0.164948422,TRUE
AMAG.JK,2021Q1,AMAG.JK2021Q1,Non-life Insurance,0.882997401,5.3667E+12,3.32289E+12,41127405000,39771941000,0.088495564,0.115044228,TRUE
AMFG.JK,2020Q1,AMFG.JK2020Q1,General Industrials,-6.656457459,8.73571E+12,5.90735E+12,-47937000000,-5.4347E+11,-0.271137026,-0.34180791,TRUE
AMFG.JK,2020Q2,AMFG.JK2020Q2,General Industrials,2.267613283,8.42577E+12,5.37508E+12,-1.57569E+11,2.89508E+11,0.32,0.317596567,TRUE
AMFG.JK,2020Q3,AMFG.JK2020Q3,General Industrials,-3.199646111,8.2122E+12,5.42769E+12,-60028000000,-1.50747E+11,-0.293939394,-0.241042345,TRUE
AMFG.JK,2020Q4,AMFG.JK2020Q4,General Industrials,2.747396787,7.96166E+12,5.03182E+12,-26018000000,3.64E+11,0.158798283,0.158798283,TRUE
AMFG.JK,2021Q1,AMFG.JK2021Q1,General Industrials,0.004094144,7.67043E+12,4.74027E+12,37414000000,1.12819E+11,0.37037037,0.374074074,TRUE
AMIN.JK,2020Q1,AMIN.JK2020Q1,Household Goods and Home Construction,-0.318273226,4.20681E+11,2.10719E+11,5638572350,-318018160,-0.08974359,-0.083870968,TRUE
AMIN.JK,2020Q2,AMIN.JK2020Q2,Household Goods and Home Construction,-1.249990781,4.36296E+11,2.3169E+11,-1745560420,-4394912000,-0.070422535,-0.070422535,TRUE
AMIN.JK,2020Q3,AMIN.JK2020Q3,Household Goods and Home Construction,-5.048716857,3.99628E+11,2.16124E+11,-17910101190,-19980064840,0.037878788,0.053030303,TRUE
AMIN.JK,2020Q4,AMIN.JK2020Q4,Household Goods and Home Construction,-2.13922702,3.83441E+11,2.08313E+11,-4890595820,-7288999220,-0.065693431,-0.021582734,TRUE
AMIN.JK,2021Q1,AMIN.JK2021Q1,Household Goods and Home Construction,-6.070867421,3.50375E+11,2.0906E+11,-16022054160,-23070840770,-0.1953125,-0.275735294,TRUE
AMRT.JK,2020Q1,AMRT.JK2020Q1,"Personal Care, Drug and Grocery Stores",1.315223286,3.01789E+13,1.72954E+13,6.66668E+11,3.24554E+11,-0.090909149,-0.137142879,TRUE
AMRT.JK,2020Q2,AMRT.JK2020Q2,"Personal Care, Drug and Grocery Stores",0.565764741,2.33787E+13,2.30794E+13,4.93438E+11,2.35012E+11,0.008497248,0.068606357,TRUE
AMRT.JK,2020Q3,AMRT.JK2020Q3,"Personal Care, Drug and Grocery Stores",0.621610939,2.53479E+13,1.67388E+13,2.65872E+11,-11477000000,-0.163522004,-0.157232784,TRUE
AMRT.JK,2020Q4,AMRT.JK2020Q4,"Personal Care, Drug and Grocery Stores",1.673041382,2.59707E+13,1.85537E+13,2.63695E+11,-3655000000,0.213027337,0.20397502,TRUE
AMRT.JK,2021Q1,AMRT.JK2021Q1,"Personal Care, Drug and Grocery Stores",1.846846137,2.89284E+13,1.85486E+13,6.65412E+11,1.53014E+12,0.125000057,0.106250003,TRUE
ANDI.JK,2020Q1,ANDI.JK2020Q1,Food Producers,2.606261014,5.10419E+11,2.28166E+11,5867726890,2837368090,0,-0.056603774,TRUE
ANDI.JK,2020Q2,ANDI.JK2020Q2,Food Producers,0.570079885,5.1022E+11,2.38245E+11,18359036230,15620103790,0,0,TRUE
ANDI.JK,2020Q3,ANDI.JK2020Q3,Food Producers,1.722492369,5.22941E+11,2.35136E+11,5911950600,7552469110,0,0,TRUE
ANDI.JK,2020Q4,ANDI.JK2020Q4,Food Producers,-6.980807208,4.79224E+11,2.38959E+11,11871217740,7579457640,0.06,0.02,TRUE
ANDI.JK,2021Q1,ANDI.JK2021Q1,Food Producers,1.390838725,4.88961E+11,2.28541E+11,-35346259260,-93250369790,-0.056603774,-0.019607843,TRUE
ANJT.JK,2020Q1,ANJT.JK2020Q1,Food Producers,-0.206465156,9.45079E+12,3.63321E+12,56488302000,-93896965000,-0.389999989,-0.429999998,TRUE
ANJT.JK,2020Q2,ANJT.JK2020Q2,Food Producers,-0.702139732,8.77368E+12,3.3374E+12,-33818449200,-1.10205E+11,-0.200000039,-0.052631619,TRUE
ANJT.JK,2020Q3,ANJT.JK2020Q3,Food Producers,1.119483213,9.07931E+12,3.44049E+12,1.72105E+11,-65370051600,0.00819671,-0.088888892,TRUE
ANJT.JK,2020Q4,ANJT.JK2020Q4,Food Producers,0.124222193,8.93146E+12,3.40301E+12,68870271600,-69277150800,0.493902448,0.432926789,TRUE
ANJT.JK,2021Q1,ANJT.JK2021Q1,Food Producers,0.485624759,9.20714E+12,3.5638E+12,93878479200,9507841200,-0.108843568,-0.05673752,TRUE
ANTM.JK,2020Q1,ANTM.JK2020Q1,Industrial Metals and Mining,-0.924578002,3.07711E+13,1.20615E+13,-2.36715E+11,-6.48825E+11,-0.464285719,-0.480952408,TRUE
ANTM.JK,2020Q2,ANTM.JK2020Q2,Industrial Metals and Mining,1.206031969,3.00332E+13,1.2746E+13,1.3754E+11,-1.57097E+11,0.350688641,0.382538272,TRUE
ANTM.JK,2020Q3,ANTM.JK2020Q3,Industrial Metals and Mining,2.461842474,3.0974E+13,1.19296E+13,3.13903E+11,6.37735E+11,0.165289237,0.224999946,TRUE
ANTM.JK,2020Q4,ANTM.JK2020Q4,Industrial Metals and Mining,1.000202789,3.17295E+13,1.20449E+13,9.88969E+11,7.19461E+11,1.744680736,1.979591814,TRUE
ANTM.JK,2021Q1,ANTM.JK2021Q1,Industrial Metals and Mining,1.957080372,3.26908E+13,1.26901E+13,6.40967E+11,4.08339E+11,0.16279073,0.022831133,TRUE
APEX.JK,2020Q1,APEX.JK2020Q1,"Oil, Gas and Coal",-1.476490329,8.05631E+12,6.1687E+12,-12233554400,53836217200,-0.537572254,-0.537572254,TRUE
APEX.JK,2020Q2,APEX.JK2020Q2,"Oil, Gas and Coal",-0.626423189,6.96662E+12,7.25485E+12,-1.36771E+11,-1.20269E+11,0.2625,0.25,TRUE
APEX.JK,2020Q3,APEX.JK2020Q3,"Oil, Gas and Coal",-0.771822531,7.20487E+12,6.31427E+12,-44204164800,-11893616800,-0.336633663,-0.31,TRUE
APEX.JK,2020Q4,APEX.JK2020Q4,"Oil, Gas and Coal",14.28908125,4.72111E+12,6.58034E+12,-60913006000,-58420776400,2.059701493,1.768115942,TRUE
APEX.JK,2021Q1,APEX.JK2021Q1,"Oil, Gas and Coal",0.297006824,4.92417E+12,2.94215E+12,8.35776E+11,8.48163E+11,0.5,0.505235602,TRUE
APIC.JK,2020Q1,APIC.JK2020Q1,Investment Banking and Brokerage Services,2.153429698,4.17216E+12,1.88631E+12,51466030080,25320228870,0.043478261,0.051094891,TRUE
APIC.JK,2020Q2,APIC.JK2020Q2,Investment Banking and Brokerage Services,0.274526224,4.54551E+12,2.32161E+12,1.15576E+11,84672126480,0.173611111,0.131944444,TRUE
